Cluster	Cell
0	Cell1013640
0	Cell1016186
0	Cell1019798
0	Cell1108843
0	Cell1126800
0	Cell1213964
0	Cell1217574
0	Cell1224009
0	Cell1224456
0	Cell1230829
0	Cell1230974
0	Cell1234683
0	Cell1401841
0	Cell1407602
0	Cell1431025
0	Cell1434318
0	Cell1515823
0	Cell1523994
0	Cell1530224
0	Cell1535241
0	Cell2700852
0	Cell2703559
0	Cell2704618
0	Cell2708538
0	Cell2709897
0	Cell2730157
0	Cell2730204
0	Cell3214726
0	Cell3230422
0	Cell3236408
0	Cell3422628
0	Cell3424843
0	Cell3431305
0	Cell3432208
0	Cell510158
0	Cell529163
0	Cell532303
0	Cell532402
0	Cell702365
0	Cell708842
0	Cell709939
0	Cell718839
0	Cell726111
0	Cell734537
0	Cell802297
0	Cell802618
0	Cell810212
0	Cell811525
0	Cell816348
0	Cell823669
0	Cell823762
0	Cell834210
0	Cell906461
0	Cell916060
0	Cell919314
0	Cell929422
1	Cell1118814
1	Cell1224028
1	Cell1426257
1	Cell3525586
1	Cell730540
1	Cell924189
